,Review_Page_Number,Ratings,Title,Posting_Date,Used_For,Review_Body,Whether_Recommended
0,1,5,Apple eco system,2021-06-06 16:48:00,1 year,Great product. Yes it may not be the best but it’s perfect for me. If you have an iPhone AirPods makes your life easier.,1
1,1,2,Pay for the EcoSystem,2021-08-06 15:37:00,3 weeks,For the money there are better options . Other than that they are great headphones . Quality is decent .,1
2,1,4,Great for the Apple Eco-System,2021-11-18 18:04:00,3 months,Solid product to go with the Apple eco-system.  Slightly uncomfortable for me after a long period of time though,1
3,1,4,Great set for the Apple eco system,2020-01-06 14:26:00,3 weeks,"They are just what you would expect from an Apple product. very easy to pair to your devices like phone, table and computer.",1
4,1,5,Best airpod,2023-07-06 18:41:00,2 months,Best airpod 2 gen really good works with apple eco system,1
5,1,5,Good if you are in apple eco-system,2019-10-18 15:49:00,2 weeks,This a must for people in apple eco-system. The seamless experience with all the apple product is a big plus compared to other earbuds or headphones. My son very much likes and  enjoys these.,1
6,1,5,Game changer,2023-09-07 22:21:00,1 month,If you’re part of the apple eco system then this is a must. Being able to seamlessly switch to different devices is a game changer.,1
7,1,5,Awesome product,2023-02-17 15:39:00,3 weeks,Good product. Value for money. Most suitable product in apple eco system.,1
8,1,5,Buy them! No regrets!,2023-06-21 07:07:00,7 months,Another great product that compliments the Apple eco system. Comfortable and sound great. Excellent choice if your still deciding!,1
9,1,5,Grrrrrreat!!!!,2021-06-18 22:46:00,3 weeks,Best purchase ever works great with apple eco system !!!,1
10,1,5,Expensive but worth it,2019-04-17 17:23:00,Not Available,I’m stuck in the Apple eco system and I’m not mad at all,1
11,1,5,Apple quality,2023-05-26 23:48:00,1 month,Easy to use if you are already in the Apple eco system. Buy them when they are on sale for $100. Does not offer noise canceling. Good for kids.,1
12,1,5,Air pods,2022-04-01 18:00:00,3 weeks,"Excellent item, I’m glad I got them. As always apple products work great in their own eco system",1
13,1,5,It's apple product.,2020-05-01 22:24:00,5 months,Got this for the wife. It's a apple product nothing more to say. If you are in a apple eco system then get it.,1
14,1,5,Awesome Airpods,2020-08-28 16:20:00,less than 1 week,Bought these for my daughter she's into the apple eco system and she thinks they're great,1
15,1,5,Works seemlessly,2019-10-19 21:32:00,3 weeks,"If you are part of the Apple eco system these are great! Switch between macOS, iPad, iPhone and no issues.",1
16,1,5,Great headphones for anything apple.,2023-09-25 16:42:00,4 months,"Great earphones. Work really well in the apple eco system. Better for those who don’t like their ears feeling clogged with the pros. Seamlessly transition from one apple product to another, can’t beat that.",1
17,1,4,Apple Echo System,2020-06-07 12:46:00,1 week,"If you are already invested in everything Apple then it makes sense if you are in the market for affordable wireless earbuds to get these. The 2nd generation Apple AirPods do not differ much from the 1st generation model, in fact to me it seems the same as far as sound quality and battery life. Easy set up and very portable makes this device the go to for wireless earbuds. To me the wireless charging did not matter much. You won't be dissapointed if you get these at the sale price.",1
18,1,5,Excellent and portable earbuts,2019-05-20 09:13:00,Not Available,No matching the cool factor. Got these after a lot of prodding. I'm finally complete with being completely integrated into the iPhone eco-system.,1
19,1,5,Sounds great!,2020-12-06 08:28:00,6 months,Apples eco system is awesome. These are very convenient and I highly recommend!,1
20,2,5,"Simple use, even for my mother!",2023-01-05 10:51:00,2 weeks,"I mean honestly, its such a simple product. Anyone can use it. Even my 65 year old mother figured it out. She loves being part of the apple eco system. 10/10",1
21,2,5,Sweet!,2019-04-17 17:12:00,Not Available,"Good sound quality. Most of all it syncs and work flawlessly if you’re in the Apple eco system! Also, a perfect gift!",1
22,2,5,One of the best apple products in the Apple family,2021-09-24 15:48:00,1.5 years,"If you don’t need the pro version of these headphones, aren’t interested in the background noise cancellation  and you are deeply rooted in the Apple eco-system these headphones are a must.",1
23,2,5,Magical,2020-12-04 17:15:00,8 months,Magical.  I use them every day.  High quality sounds and works across the apple eco system and beyond.,1
24,2,5,Sound great and work great,2020-11-10 12:20:00,1 year,Airpods are great especially if you are in the apple eco system. It works so well on all there devices and cross connects with them with the latest updates.,1
25,2,5,Awesome,2019-09-22 09:55:00,3 weeks,"These headphones are awesome. I bought this pair for my son as my wife and I each have a pair. They are very convenient and they are our daily drivers when it comes to headphones. As for sound quality they are not top of the line, but with how they fit the Apple eco system when it comes to being used on other products, makes this a solid purchase.",1
26,2,5,Can't go wired anymore,2021-05-14 09:47:00,3 weeks,Awesome headphones. Can't go wired anymore. I personally have all apple eco-system for my gear. Easy initial setup and easy to connect to other devices as well. Highly recommended for people who are hesitant to get one of these.,1
27,2,4,Keep it Simple,2022-05-09 10:28:00,1.5 years,"The sound quality is above average but the problem is the price. You have many more better options in this price range, the only plus is keeping it in the Apple Eco System to increase the quality of life.",1
28,2,5,Good sound and super easy to use,2019-11-17 15:09:00,1 week,"I was surprised on the sound quality and the ease of use when it came to my Apple eco system. Well worth it if you have MacBook, iPad, iPhone etc",1
29,2,4,Great headphones,2019-09-20 19:56:00,1 month,"The AirPods aren’t The greatest on the market. If you are in the Apple eco system.  These work amazing. They sound great and actually stayed in my ears. I have small ears and not many earbuds fit my ears so this is a plus. Also, you can charge them on the go. You really can’t beat that. I would recommend these if you are in the Apple eco system.",1
30,2,5,Convenient audio gets the job done,2021-11-19 19:52:00,1 year,"This is a great product for those who just need a fast, seamless and convenient way to consume media with audio. If you’re in the apple eco system, and you don’t want the Pro version, strongly consider these. For a few bucks more, even the AirPods 3rd gen is a great purchase.",1
31,2,5,Love these things!,2021-02-20 06:25:00,1 month,This is my second pair of these only because I washed the first ones and one of them didn’t make it. Everyone in the house has a pair and we love them. Of course there are better sounding options but these sound plenty good and they work so well in the Apple eco system.,1
32,2,5,Excellent headphones for daily use,2019-09-04 21:04:00,Not Available,These are perfect for daily music and podcast listening if you are in the Apple eco system. Pairing them is seamless and the sound is pretty decent for what they are,1
33,2,4,Great for Apple and no for adroit,2020-10-23 18:57:00,1 month,"One thing that makes Apple eco system the simplicity how the devices communicate each. I totally love to use these airports with my iPhone 8. The sounds is normal and use is alright. However, I’ve bought these AirPods for my wife who is an adroit user. She wants to use those because  they looks so comfy. They supposedly work with adroit, but it does not. They disconnected so often, and she started hating them. I’m totally recommend you to buy these AirPods if you are iPhone user and no if you were an adroit use look somewhere else.",1
34,2,4,Great headset for bluetooth,2020-02-02 05:09:00,1 month,"I use an Android. There, I said it. 

So, some of the functionality is missing - namely dome chick named SIRI.

Having come from Jaybirds. I'm used to little things like volume control, song skip, song repeat, etc.

This headset I can turn on and off.  Now, I know you're going to say they were made for the Apple eco-system, right?  Probably so.

So, honestly, I can say I wish they would do more with the Droid out of box, but it is what it is.  I also can loose connection inside gym, around so much EMR.  This didn't  happen with Jaybird.


Why am I sticking?  Because they are so darn comfortable and the recharge case is a bonus,",1
35,2,4,Great sound system,2019-06-14 19:43:00,3 weeks,Excellent wireless iPods I can get a lot done with them on working an cleaning up,1
36,2,5,Perfect Gift for your Loved Ones!,2021-01-15 18:10:00,1 year,"I got these for my little sister and she absolutely loves them! Compact and easy to use, good sound quality, and no more of those annoying tangling wires like the regular apple headphones! These are a must have for anyone in the Apple Echo System!",1
37,2,5,Humble perfection,2022-02-04 16:17:00,5 months,"Easy, sounds good enough, works perfectly with the eco system. There are so many little benefits to using AirPods. They connect easily between all your apple stuff, you can share audio with them easily and they sound good enough.

I'm a real head phone snob, but if I had to only pick one thing to put on/in my ears, it'd be these. The extra convenience and features that you get when you've got a lot of other apple stuff. They may not sound like $1000+ electrostats, but I can pop open that case and instantly take a call, listen to a video, go for a run, finish and audio book while doing some chores, without worrying about juggling bluetooth settings, re-pairing, finding a battery or adapter. They just freakin' work.",1
38,2,5,Amazing earphones for the apple eco,2021-03-05 17:00:00,3 weeks,great price for all the features you get and simple to use.,1
39,2,5,Apple AirPods 2nd generation,2022-12-23 17:26:00,1 month,The sound system is very good.good in size and quality.,1
40,3,5,Earned a permanent spot in my pocket!,2019-11-08 06:44:00,1 week,"If you want Noise Canceling and a Tight fit with better bass... get the Pro’s.

These are perfect for comfort, private listening to whatever is on your iPhone, iPad, Apple TV, or any Bluetooth device. They are great for hands free calls, and I love that you don’t have to use both buds. You can hear your surroundings when they are in, but I like that aspect. I don’t feel completely muted from the world when they are in. They charge Super Fast, and they case stays charged for multiple days before I even consider charging it. If you are in the Apple echo system, it’s a no brainer... why are you still reading? Just buy them already!

I don’t leave home without them!",1
41,3,5,Great addition to the Apple ecosystem,2023-05-27 22:02:00,3 months,"Surprisingly comfortable, with many fantastic features make these a great addition for any iPhone user. Great sound quality coupled with the ANC software in the recent iPhone update makes these great for music and calls. Great charge time means they're always ready to go. Would absolutely buy again.",1
42,3,5,Magnificent sound system,2020-08-14 16:33:00,2 months,So far so good & satisfy as daily use .I love the carry case,1
43,3,5,Best for Apple Ecosystem,2023-05-16 20:46:00,6 months,Enjoy the fit. Plugs into the Apple ecosystem superbly. Awesome to use with Apple TV device as well.,1
44,3,5,Great sound system,2019-05-17 20:25:00,Not Available,This is a great product and I would recommend it to everyone.,1
45,3,4,Excellent Sound System,2020-01-12 18:31:00,less than 1 week,"The sound is crystal clear, little background noise, and easy to store away.",1
46,3,5,Great,2023-07-05 07:01:00,more than 2 years,Long life battery charger and sound system is great,1
47,3,5,Great headphones,2020-07-18 10:37:00,3 weeks,Amazing sound system. Love how they fit perfectly in my daughters ears.,1
48,3,5,Best airpods,2023-07-28 20:45:00,1 year,"Works good, very easy to connect and use. Nice sound system !",1
49,3,5,Air pods 1st Gen,2023-07-09 14:40:00,2 months,Quality is perfect. Easy to pair with any BT compatible system.,1
50,3,4,Apple ipod look good,2023-09-10 20:36:00,3 months,Good product.         Apple pod looking good for the iPhone system,1
51,3,5,Best choice for the apple ecosystem,2022-10-12 11:29:00,1.5 years,These AirPods are amazing at switching between all my different devices connected to my apple id and are so convenient compared to other company offerings,1
52,3,5,Generational wonder!,2023-05-05 17:02:00,3 weeks,Nice one! It makes music become part of your system,1
53,3,4,Great for Apple ecosystem,2021-01-22 18:45:00,Not Available,"These are great as far as being used with an iPhone, ipad, etc. the only reason I would not give them a five star is that they sometimes slip out of my ears but that’s not an issue that everyone has, and that there are other headphones that sound a little better.  All in all no other headphones will be as seamless with your Apple device as these headphones.",1
54,3,5,Great headphones in the Apple ecosystem,2020-09-26 15:25:00,1 month,The AirPods are consistently useful and quality products. They go well with any Apple product.,1
55,3,5,Best if used in Apple ecosystem,2019-11-24 09:11:00,1 week,"I cannot leave my house with these, best earbuds I’ve had",1
56,3,5,good,2021-09-13 17:32:00,Not Available,"good 
delivery and 
good return system
everything is good",1
57,3,5,Great !!!!!,2020-04-17 23:15:00,Not Available,"Amazing soundproof system in these , love Apple and all there products",1
58,3,5,A must for those in the Apple ecosystem.,2021-07-16 22:05:00,1 month,Excellent audio quality and efficient to use with your iPhone. Charging case gets them juiced up fast when they die as well. The seamless integration with your other Apple products is amazing too. I always use these at night when watching shows on Apple TV when everyone in the house is sleeping.,1
59,3,4,Good accessory for Apple Ecosystem,2019-10-18 15:49:00,1 month,"The Apple AirPods are a good accessory to have for anyone already in the Apple ecosystem. You can easily pair with your iPhone, iPad, or Apple TV. The sound quality is good but lacks bass. The design of the AirPods tends to be good for some but uncomfortable for others. I can’t wear them for long periods of time before my ear fatigue. The charging case is small and can easily be carried in your pocket without noticing it but the case internals tend to get dirty easily.",1
60,4,5,Airpods,2021-06-26 22:13:00,1 month,"The apple airpods are a good headphones with a good music system, so good for trainning.",1
61,4,4,Creating the perfect Apple Ecosystem,2020-05-15 14:52:00,5 months,"After having purchased an iPhone and I watch the sensible thing next to get was these buds. With the intuitive pairing with Apple devices, being on the go with music has never been easier. The battery life is excellent and the sound quality is ok with that you get for wireless buds.",1
62,4,5,Airpods 2,2019-06-03 17:48:00,Not Available,Excelent funcionality!! The sound and conectivity with Android system has no problemas. Totally recomendable!!,1
63,4,5,Airpds,2023-07-30 18:47:00,1 year,"They are good airpods, for my first Apple product this seems like a good product to buy they work very well and they also have a good sound system.",1
64,4,4,Ear buds,2021-01-10 09:52:00,1 year,These work great.  Wish they did have a tracking system as they are easy to lose. Be careful.,1
65,4,5,Headphones perfect for the iPhone ecosystem...,2021-01-01 04:34:00,1 year,Love that they automatically connect straight out of the case.  Perfect headphones.,1
66,4,5,Great if you are deep in apples ecosystem,2020-02-19 09:43:00,1 month,My wife is had to have these. She was tired of dealing with headphone wires and the paired easily with her iPhone.,1
67,4,5,Excellent Add On For iOS Ecosystem,2020-12-26 17:17:00,7 months,I can't believe I waited so long to finally purchase these.  So handy.,1
68,4,5,Great earbuds if your in the apple ecosystem,2019-09-09 17:44:00,3 weeks,"They work great with other apple products, charge quickly, last a great account of time, durable.",1
69,4,5,Good Addition to Apple Ecosystem,2020-09-15 17:01:00,2 months,"Apple AirPods are amazing, they seamlessly play audio as soon as you put them in your ears and pause when you take them out. With a decent battery life of apprx 5 hours of listening time.I would highly recommend it to anyone looking to buy (could be cheaper).",1
70,4,4,Great for listening casual music,2019-11-22 16:24:00,2 weeks,I prefer this one instead of the pro’s because of the in-ear system,1
71,4,5,One step closer to Apple ecosystem,2019-07-27 01:06:00,1 month,I'll keep it short but true: Buy it without thinking twice!,1
72,4,4,"Great, if you're in the Apple ecosystem",2021-01-09 16:47:00,3 weeks,"Good earphones, if you're in Apple ecosystem. They pair simply by holding the case open near your phone. Very elegant and seamless. Handoff to my other devices (Mac and iPad) is just as easy. 

New they hold about a 4-5 hour listening charge and 2-3 hour of talk. The case acts like a battery and gives the AirPods about 24 hours of total time. They charge relatively quickly in the case. My only gripe is, not necessarily an Apple issue, but the batteries in these devices are so small they don't last long. My first AirPods lasted about 16 months before they battery life significantly eroded, about 50% in listen/talk. About 24 months they last under an hour. I ended picked up a second pair. They essentially become disposable electronics, kinda pricey. 

Comfort is great for my ear type and they don't fall out easily. Sound quality is good, not great, but within expectations. 

With all of that said, I won't purchase another pair until their battery life is substantially improved. Buying these every year or two is wasteful.",1
73,4,5,Airpods,2021-09-24 23:04:00,3 weeks,I really like singing the Airpods they are provide me with a good sound quality experience. I've noticed that sometimes it fails to connected to other cellular devices. Overall a great hearing system.,1
74,4,5,Must have for the Apple Ecosystem,2021-12-31 08:54:00,1 year,"I loved these, right up until my cat knocked the case off the counter, the buds fell out, and then my dog chewed them up. 
like they planned it.
Best part of Airpods is how they seamlessly work on all your apple devices. That in itself is worth the cost.",1
75,4,5,Must have for Apple ecosystem,2021-11-08 15:45:00,8 months,"Excellent products, at least for me! Feels snuggy enough in my ears that won't fall in daily use, holds charge pretty good, but the most important part is, the connectivity! If you have apple devices, it smoothly connects to macbook to iphone, to watch, to ipad!",1
76,4,5,Made for the Apple ecosystem; not for audiophiles,2022-07-28 20:42:00,4 months,Not the best audio or the most comfortable earbuds  but the easiest to use if you’re within the Apple ecosystem.,1
77,4,5,They are great,2019-11-17 19:41:00,less than 1 week,The Apple AirPods are a great addition to the Apple system. They work wonderfully with other apple products as one would expect.,1
78,4,5,Great headphones,2019-08-13 05:20:00,3 weeks,"These headphones are great. I feel like I have 
a mini surround system in my ears! A must buy.",1
79,4,5,Good speed and efficiency,2020-05-29 17:04:00,Not Available,Good system. Pretty fast and efficient. We were able to get the product the same day,1
80,5,5,Replacing lost Airpods,2020-04-24 16:11:00,3 weeks,Great system to pickup products from the parking lot outside your store in Pinole.,1
81,5,4,Works well in the Apple ecosystem,2020-12-17 09:14:00,1 year,"Excellent product. Typical Apple in that it works really well in the Apple ecosystem. I think they are (along with most Apple products) pricey, but the quality of the Apple Premium is there.  One small issue is how easily the case attracts dirt in every crevice on the inside.",1
82,5,5,Airpod and Best Buy review,2023-05-26 06:05:00,3 months,Amazing delivery service every time I order. Very efficient tracking system and the delivery is always done correctly. Quality of headphones is clear and has great volume quality.,1
83,5,5,Easy setup and great sound quality,2020-12-29 05:26:00,6 months,"Enough with cheap Bluetooth earbud. Ever since I got these AirPods , I am loving it and no way looking back . Battery life is excellent plus the case has its own backup system . Very sensitive and easy to use . Absolutely easy setup and great performance.",1
84,5,5,Great addition to the Apple ecosystem,2019-09-22 10:19:00,1 month,I purchased these for my daughter as a bday gift and she loves them.,1
85,5,5,Just another great part of the Apple Ecosystem,2021-11-19 15:55:00,1 year,"Amazing little headphones. Could be a little cheaper, but they deliver!",1
86,5,5,Love my AirPods,2021-08-27 18:32:00,3 weeks,These things are fantastic! Wish I had purchased them sooner. Watching Apple TV with them is even better then my sound system.,1
87,5,5,Great value,2020-08-19 17:20:00,7 months,Great sound and the charging system rocks. I purchased this for my son.,1
88,5,5,Best sound quality,2020-05-30 07:37:00,3 weeks,Great charging system and quality of sound. Easy connection to all device.,1
89,5,5,Very good for my grandson to use for his game syst,2020-06-12 18:28:00,1 year,My grandson was very happy to get these for his birthday . He said they were so nice for him to hear out of when using his game system.,1
90,5,4,Great starter gift to the Apple ecosystem!,2021-04-23 18:01:00,3 weeks,"Got them to price match a cheaper deal online. I should’ve gotten them earlier when they were on sale. Needless to say, my wife loved them as a gift. Good sound and no wires.",1
91,5,5,Air Pod Review,2023-03-27 15:33:00,1 month,Every thing I wanted and expected. Sound is great and storage with built in charging system is convenient.,1
92,5,4,Could have a better way to locate them,2021-01-25 07:07:00,1 month,Bought these for my son. He is extremely happy with his airpods. It would be good to have a better and louder system to locate them when missing them.,1
93,5,4,Great,2023-09-29 15:30:00,1.5 years,Apple pairs with other products and devices we own in their ecosystem.,1
94,5,4,Best all around,2020-05-01 16:23:00,1 month,I’ve tried at least 6 other wireless earphone systems. This is still the best all-around set and I use them everyday.,1
95,5,4,"Nice to be free of wires, but they don't last long",2019-07-27 12:31:00,3 weeks,I use these for phone calls in the car since my in car system is not great. They don't stay in that well and they don't last long enough.,1
96,5,5,Best bluetooth experience for the Apple ecosystem.,2019-09-13 18:39:00,3 weeks,"If you are invested in all things Apple then you simply have to go with a pair of Airpods. I tried to cheap my way out by using other brands but ultimately it ended up with frustration. The AirPods just work and they work well. They fit comfortably, sound good (not audiophile quality), and they handoff between devices is what really seals the deal.",1
97,5,5,Worth the price!,2020-10-06 10:46:00,1 year,"Good ear buds, good sound, good charging system. I’d buy again.",1
98,5,3,3 stars because of echo,2020-04-25 08:32:00,1 week,Pod keeps falling out of my right ear.  There is an echo in the background during most of my calls,0
99,5,5,Really nice,2021-06-26 03:18:00,Not Available,It’s really good sound system my daughter love it.,1
100,6,5,Music,2021-01-08 16:11:00,1 month,System loves them and uses them daily!! Perfect gift,1
101,6,5,Very Good,2020-03-28 14:25:00,1 month,"Excellent quality of materials and sound, very good integration with the system.",1
102,6,3,Good as part of Apple ecosystem. Poor reliability,2019-05-17 19:58:00,Not Available,"This SKU is the wireless AirPods with Charging Case. So everyone is clear, this is the 2nd generation headphones that are wireless, but with the WIRED charging case in which you need to plug in a lightning cable. 

Battery life and audio quality are decent. Boost lower mid bass, may not be the most accurate, but give the impression of deep bass. Twisting them forwards a bit to get a firmer fit in the ear emphasizes the bass and also points the front mouth. Outgoing audio quality for calls is ok. Not great. Not good. But just okay. Barely acceptable. The other end picks up random noises, and has somewhat softer outgoing audio than better headphones for calls. Also, the audio connection drops quite a bit, so that when you think you're talking to someone, you no longer are. The audio has reverted to the handset/phone. It appears this is due to the sensor that detects being in the ear being too aggressive always thinking the ear pods have been removed from the ear, or maybe due to a defective set. 

Also very annoying is the fact there are virtually no controls on either side, so that to raise or lower the volume, skip the track or repeat a track, you need to take the phone out of your pocket. The Galaxy Buds allow you to skip forwards, repeat or skip back, adjust volume and play/pause by tapping the touch pad on either ear.

If you make a lot of phone calls, the Plantronics Voyager Focus is highly recommended. It has intuitive controls for call control and audio control, has selectable ambient noise cancellation, has a boom noise cancelling microphone, has on head/ear detection sensors, and a very easily accessed and intuitive microphone mute button on the boom. It is a bit bigger though.

For those primarily worried about call quality, the Plantronics M104 has a passive/active noise cancelling mic with a really long boom, and only covers one ear to make it most road/drive legal. This one has the best audio quality in and out (ear piece and while speaking to others) but is mono.",0
103,6,5,Nice sound,2020-10-21 18:59:00,1 month,Nice sound system. Easy to carry around with its case.,1
104,6,3,Not a good design,2020-07-17 23:07:00,3 weeks,The AirPods are too large and do not stay in your ear. You will need to get some kind of system to keep it from falling out.,0
105,6,5,Great product,2019-12-20 16:57:00,Not Available,"Love it! User friendly, solid operating system, great product",1
106,6,4,Good use,2021-03-12 16:16:00,10 months,"Great sounds system, great for working out! No hassle and they last forever",1
107,6,5,Great sound.,2020-07-10 19:50:00,3 weeks,"For a wireless system, you get really good sound for a decent price. And the audio out for the mic is good too.",1
108,6,3,Meh,2019-10-11 17:25:00,1 month,There are several wireless buds at the same price range and have more features with better durability. Once you in the iOS eco...you're in it.,1
109,6,4,Nice,2020-08-14 16:24:00,3 weeks,It’s got a good grip and pretty cool sound system.,1
110,6,5,Value when on sale.,2023-08-12 13:34:00,1 month,Good value but only when on sale if you aren't looking for fancy features. Very reliable with Apple ecosystem.,1
111,6,5,Best thing I’ve bought these year,2019-09-20 18:19:00,1 month,Great sound great charging system good warranty they help me add it to my AppleCare,1
112,6,4,Great Apple ear buds for the price.,2023-09-27 19:58:00,5 months,Fit is solid. Works great in the Apple ecosystem. Best option for wireless earbuds from Apple if on a “budget”.,1
113,6,5,Nice AirPods,2021-03-19 18:35:00,7 months,AirPods work great if you are in the Apple ecosystem.,1
114,6,5,Great pair of headphones!,2020-04-25 02:03:00,1 month,Great for of headphones! Works well with the apple ecosystem. Recommended.,1
115,6,5,Great Airpods,2020-07-15 18:54:00,4 months,Excellent and elegant product and works fine with apple ecosystem,1
116,6,5,Another amazing Apple product,2020-01-09 12:54:00,Not Available,Excellent product as expected. Loving life in the Apple ecosystem.,1
117,6,5,Airpods,2022-08-01 17:40:00,5 months,"No surprises, just works. If you are in apple ecosystem must have",1
118,6,5,Sound is good,2020-07-18 13:50:00,1 week,The sound this system puts in your ears are authentic clearer than what most expect to be from a small earpiece.,1
119,6,5,Great pods,2019-09-13 18:03:00,1 month,"Sounds great, no feedback or echos. Fits great in my ears.",1
120,7,5,Calls > music,2021-09-03 14:22:00,1 year,Great if you live in the apple ecosystem.  Great for calls a bit lacking for music.,1
121,7,5,Great airpods,2020-07-03 15:11:00,1 year,I love these airpods. I use them on a daily basis and battery and sound system is awesome!,1
122,7,5,Amazing,2021-06-18 15:48:00,8 months,Amazing if you’re already in the Apple ecosystem and have other apple products,1
123,7,5,Excellent product,2019-10-04 16:49:00,3 weeks,I love Apple AirPods product. Great sound System And very easy to carry to everywhere.,1
124,7,5,So nice,2019-11-08 16:57:00,3 weeks,So far so good very nice sound system .. music is so clear .. I really enjoyed,1
